date,dust
2017-01-12,31.974358974358974
2017-01-13,31.512820512820515
2017-01-14,45.282051282051285
2017-01-15,29.076923076923077
2017-01-16,49.8974358974359
2017-01-17,70.92307692307692
2017-01-18,101.71794871794872
2017-01-19,105.64102564102564
2017-01-20,58.76923076923077
2017-01-21,50.82051282051282
2017-01-22,75.89473684210526
2017-01-23,49.05263157894737
2017-01-24,42.07692307692308
2017-01-25,52.35897435897436
2017-01-26,67.51282051282051
2017-01-27,109.41025641025641
2017-01-28,34.92307692307692
2017-01-29,28.76923076923077
2017-01-30,50.282051282051285
2017-01-31,31.897435897435898
2017-02-01,38.56410256410256
2017-02-02,35.30769230769231
2017-02-03,72.23076923076923
2017-02-04,100.51282051282051
2017-02-05,73.41025641025641
2017-02-06,43.333333333333336
2017-02-07,43.8974358974359
2017-02-08,57.12820512820513
2017-02-09,52.87179487179487
2017-02-10,34.64102564102564
2017-02-11,31.076923076923077
2017-02-12,33.15384615384615
2017-02-13,47.23076923076923
2017-02-14,55.17948717948718
2017-02-15,65.53846153846153
2017-02-16,73.05128205128206
2017-02-17,47.8974358974359
2017-02-18,33.666666666666664
2017-02-19,46.743589743589745
2017-02-20,46.64102564102564
2017-02-21,50.64102564102564
2017-02-22,43.15384615384615
2017-02-23,37.205128205128204
2017-02-24,31.974358974358974
2017-02-25,50.41025641025641
2017-02-26,51.1025641025641
2017-02-27,43.48717948717949
2017-02-28,47.46153846153846
2017-03-01,62.1025641025641
2017-03-02,36.05128205128205
2017-03-03,46.97435897435897
2017-03-04,57.07692307692308
2017-03-05,71.17948717948718
2017-03-06,39.12820512820513
2017-03-07,35.794871794871796
2017-03-08,46.02564102564103
2017-03-09,49.8974358974359
2017-03-10,48.41025641025641
2017-03-11,67.17948717948718
2017-03-12,93.97435897435898
2017-03-13,65.58974358974359
2017-03-14,52.35897435897436
2017-03-15,45.05128205128205
2017-03-16,67.17948717948718
2017-03-17,79.8974358974359
2017-03-18,76.82051282051282
2017-03-19,78.82051282051282
2017-03-20,102.74358974358974
2017-03-21,102.56410256410257
2017-03-22,54.421052631578945
2017-03-23,76.44736842105263
2017-03-24,63.05263157894737
2017-03-25,68.73684210526316
2017-03-26,63.86842105263158
2017-03-27,77.66666666666667
2017-03-28,86.66666666666667
2017-03-29,60.666666666666664
2017-03-30,71.28205128205128
2017-03-31,52.97435897435897
2017-04-01,26.743589743589745
2017-04-02,49.794871794871796
2017-04-03,82.53846153846153
2017-04-04,78.48717948717949
2017-04-05,53.0
2017-04-06,28.692307692307693
2017-04-07,45.76923076923077
2017-04-08,65.15384615384616
2017-04-09,42.94871794871795
2017-04-10,30.743589743589745
2017-04-11,59.743589743589745
2017-04-12,66.51282051282051
2017-04-13,73.92307692307692
2017-04-14,60.15384615384615
2017-04-15,71.07692307692308
2017-04-16,63.48717948717949
2017-04-17,50.23076923076923
2017-04-18,43.51282051282051
2017-04-19,86.8974358974359
2017-04-20,86.46153846153847
2017-04-21,71.94871794871794
2017-04-22,65.23076923076923
2017-04-23,52.078947368421055
2017-04-24,46.07692307692308
2017-04-25,62.205128205128204
2017-04-26,46.82051282051282
2017-04-27,48.205128205128204
2017-04-28,66.82051282051282
2017-04-29,66.38461538461539
2017-04-30,95.64102564102564
2017-05-01,96.25641025641026
2017-05-02,103.46153846153847
2017-05-03,73.55263157894737
2017-05-04,67.25641025641026
2017-05-05,58.743589743589745
2017-05-06,194.82051282051282
2017-05-07,94.2051282051282
2017-05-08,178.12820512820514
2017-05-09,128.35897435897436
2017-05-10,46.87179487179487
2017-05-11,75.6923076923077
2017-05-12,77.92307692307692
2017-05-13,54.23076923076923
2017-05-14,60.794871794871796
2017-05-15,46.666666666666664
2017-05-16,38.0
2017-05-17,41.743589743589745
2017-05-18,51.23076923076923
2017-05-19,49.92307692307692
2017-05-20,42.0
2017-05-21,34.17948717948718
2017-05-22,45.97435897435897
2017-05-23,38.64102564102564
2017-05-24,29.641025641025642
2017-05-25,41.07692307692308
2017-05-26,27.0
2017-05-27,36.05128205128205
2017-05-28,48.256410256410255
2017-05-29,72.2051282051282
2017-05-30,52.743589743589745
2017-05-31,40.76923076923077
2017-06-01,40.666666666666664
2017-06-02,30.897435897435898
2017-06-03,34.05128205128205
2017-06-04,30.94871794871795
2017-06-05,29.23076923076923
2017-06-06,23.025641025641026
2017-06-07,18.333333333333332
2017-06-08,47.421052631578945
2017-06-09,63.73684210526316
2017-06-10,52.078947368421055
2017-06-11,32.078947368421055
2017-06-12,33.63157894736842
2017-06-13,39.51282051282051
2017-06-14,46.76923076923077
2017-06-15,54.333333333333336
2017-06-16,71.23076923076923
2017-06-17,54.56410256410256
2017-06-18,46.41025641025641
2017-06-19,55.743589743589745
2017-06-20,55.92307692307692
2017-06-21,60.94871794871795
2017-06-22,40.56410256410256
2017-06-23,46.43589743589744
2017-06-24,45.205128205128204
2017-06-25,38.84615384615385
2017-06-26,29.743589743589745
2017-06-27,33.15384615384615
2017-06-28,50.30769230769231
2017-06-29,53.51282051282051
2017-06-30,57.282051282051285
2017-07-01,46.205128205128204
2017-07-02,27.666666666666668
2017-07-03,25.86842105263158
2017-07-04,37.76315789473684
2017-07-05,43.921052631578945
2017-07-06,53.48717948717949
2017-07-07,25.102564102564102
2017-07-08,28.82051282051282
2017-07-09,28.897435897435898
2017-07-10,15.871794871794872
2017-07-11,43.38461538461539
2017-07-12,50.58974358974359
2017-07-13,54.717948717948715
2017-07-14,52.64102564102564
2017-07-15,23.17948717948718
2017-07-16,19.871794871794872
2017-07-17,25.71794871794872
2017-07-18,29.923076923076923
2017-07-19,42.333333333333336
2017-07-20,56.56410256410256
2017-07-21,64.6923076923077
2017-07-22,61.35897435897436
2017-07-23,53.46153846153846
2017-07-24,38.23076923076923
2017-07-25,30.41025641025641
2017-07-26,21.794871794871796
2017-07-27,32.38461538461539
2017-07-28,33.333333333333336
2017-07-29,18.487179487179485
2017-07-30,25.076923076923077
2017-07-31,24.871794871794872
2017-08-01,25.487179487179485
2017-08-02,40.0
2017-08-03,28.153846153846153
2017-08-04,30.358974358974358
2017-08-05,34.794871794871796
2017-08-06,28.63157894736842
2017-08-07,36.61538461538461
2017-08-08,46.05128205128205
2017-08-09,37.282051282051285
2017-08-10,10.333333333333334
2017-08-11,13.461538461538462
2017-08-12,13.205128205128204
2017-08-13,11.948717948717949
2017-08-14,11.58974358974359
2017-08-15,8.128205128205128
2017-08-16,9.76923076923077
2017-08-17,14.538461538461538
2017-08-18,30.435897435897434
2017-08-19,28.564102564102566
2017-08-20,12.153846153846153
2017-08-21,16.28205128205128
2017-08-22,20.512820512820515
2017-08-23,23.333333333333332
2017-08-24,23.46153846153846
2017-08-25,29.384615384615383
2017-08-26,28.435897435897434
2017-08-27,26.743589743589745
2017-08-28,32.02564102564103
2017-08-29,20.53846153846154
2017-08-30,28.615384615384617
2017-08-31,40.76923076923077
2017-09-01,27.615384615384617
2017-09-02,30.17948717948718
2017-09-03,34.82051282051282
