date,count,rain,dust,temp,holiday,user,week
2017-10-25,29915,0.0,44.48717948717949,14.4,0.0,1172,2
2017-10-26,29239,0.0,54.02564102564103,14.5,0.0,1147,3
2017-10-27,31474,0.0,63.4102564102564,16.9,0.0,1465,4
2017-10-28,30249,0.0,49.71794871794872,17.2,0.0,2274,5
2017-10-29,20310,0.0,69.35897435897436,11.5,0.0,1522,6
2017-10-30,21550,0.0,38.615384615384606,7.7,0.0,625,0
2017-10-31,25117,0.0,37.512820512820504,10.4,0.0,718,1
2017-11-01,27319,0.0,41.692307692307686,14.4,0.0,1025,2
2017-11-02,25335,1.0,50.358974358974365,15.5,0.0,899,3
2017-11-03,19578,1.5,42.05128205128205,12.3,0.0,829,4
2017-11-04,18341,0.0,56.256410256410255,7.8,0.0,977,5
2017-11-05,19098,0.0,43.153846153846146,8.4,0.0,1190,6
2017-11-06,25218,0.0,36.87179487179487,11.4,0.0,794,0
2017-11-07,27262,0.0,46.4102564102564,14.4,0.0,839,1
2017-11-08,24021,0.0,68.76923076923077,13.1,0.0,701,2
2017-11-09,24375,0.0,54.4102564102564,9.4,0.0,695,3
2017-11-10,15896,7.5,48.358974358974365,9.8,0.0,427,4
2017-11-11,15692,0.0,74.41025641025641,5.9,0.0,733,5
2017-11-12,15033,0.0,34.666666666666664,5.3,0.0,757,6
2017-11-13,16595,4.5,44.92307692307693,8.4,0.0,408,0
2017-11-14,19222,0.0,48.43589743589744,7.5,0.0,406,1
2017-11-15,16133,0.0,27.923076923076927,3.2,0.0,282,2
2017-11-16,15150,0.0,28.0,1.0,0.0,264,3
2017-11-17,13977,0.0,45.48717948717949,3.0,0.0,272,4
2017-11-18,8228,0.0,41.307692307692314,-2.1,0.0,217,5
2017-11-19,7232,0.0,26.35897435897436,-1.6,0.0,222,6
2017-11-20,12553,0.0,40.87179487179487,-0.4,0.0,224,0
2017-11-21,14286,0.0,54.153846153846146,1.3,0.0,304,1
2017-11-22,13151,0.5,66.92307692307692,4.3,0.0,270,2
2017-11-23,12915,1.2,26.153846153846153,0.9,0.0,200,3
2017-11-24,10776,0.0,22.615384615384613,-0.4,0.0,181,4
2017-11-25,4350,24.0,28.23076923076923,3.0,0.0,162,5
2017-11-26,8294,0.0,40.794871794871796,3.3,0.0,343,6
2017-11-27,13798,0.0,52.97435897435897,2.5,0.0,259,0
2017-11-28,14962,0.5,77.58974358974359,6.4,0.0,377,1
2017-11-29,12959,0.0,63.87179487179486,3.2,0.0,251,2
2017-11-30,10869,0.0,25.64102564102564,-2.4,0.0,208,3
2017-12-01,10558,0.0,27.2051282051282,-2.2,0.0,211,4
2017-12-02,9234,0.0,43.33333333333334,1.9,0.0,323,5
2017-12-03,7811,4.0,53.82051282051282,4.9,0.0,349,6
2017-12-04,9731,0.1,44.97435897435897,-1.2,0.0,205,0
2017-12-05,9209,0.1,23.58974358974359,-4.2,0.0,145,1
2017-12-06,7243,1.2,34.846153846153854,0.2,0.0,152,2
2017-12-07,9364,0.0,47.5897435897436,0.7,0.0,171,3
2017-12-08,8836,0.0,33.97435897435897,-3.8,0.0,119,4
2017-12-09,7784,0.0,42.74358974358975,-0.5,0.0,223,5
2017-12-10,3681,4.1,40.53846153846154,1.1,0.0,175,6
2017-12-11,6306,0.0,48.5897435897436,-7.0,0.0,88,0
2017-12-12,5948,0.0,34.53846153846154,-9.4,0.0,83,1
2017-12-13,6499,0.0,38.641025641025635,-8.7,0.0,81,2
2017-12-14,6922,0.0,57.92307692307693,-6.6,0.0,102,3
2017-12-15,7869,0.0,85.0,-3.0,0.0,113,4
2017-12-16,4885,0.0,60.5,-5.7,0.0,124,5
2017-12-17,3944,0.0,39.60526315789474,-6.7,0.0,109,6
2017-12-18,2767,3.4,58.368421052631575,-1.6,0.0,76,0
2017-12-19,4583,0.0,47.842105263157904,-3.9,0.0,73,1
2017-12-20,4857,0.2,43.44736842105264,-3.9,0.0,86,2
2017-12-21,6142,0.0,54.594594594594604,-0.9,0.0,117,3
2017-12-22,7797,0.0,61.135135135135144,3.4,0.0,143,4
2017-12-23,7156,0.0,113.52777777777777,6.1,0.0,307,5
2017-12-24,2174,20.0,80.1111111111111,2.9,0.0,207,6
2017-12-25,4186,0.0,31.36111111111111,-2.1,1.0,187,0
