가입일자,사용자코드,연령대코드,성별,가입 수
2020-01-04,회원-내국인,AGE_003,M,70
2020-01-04,회원-내국인,AGE_004,F,38
2020-01-04,회원-내국인,AGE_004,M,52
2020-01-04,회원-내국인,AGE_005,F,11
2020-01-04,회원-내국인,AGE_005,M,27
2020-01-04,회원-내국인,AGE_006,F,2
2020-01-04,회원-내국인,AGE_006,M,2
2020-01-04,회원-내국인,AGE_007,M,1
2020-01-05,회원-내국인,AGE_001,F,64
2020-01-05,회원-내국인,AGE_001,M,67
2020-01-05,회원-내국인,AGE_002,F,136
2020-01-05,회원-내국인,AGE_002,M,168
2020-01-05,회원-내국인,AGE_003,F,58
2020-01-05,회원-내국인,AGE_003,M,80
2020-01-05,회원-내국인,AGE_004,F,33
2020-01-05,회원-내국인,AGE_004,M,53
2020-01-05,회원-내국인,AGE_005,F,17
2020-01-05,회원-내국인,AGE_005,M,21
2020-01-05,회원-내국인,AGE_006,F,2
2020-01-05,회원-내국인,AGE_006,M,9
2020-01-05,회원-내국인,AGE_007,M,1
2020-01-06,회원-내국인,AGE_001,F,20
2020-01-06,회원-내국인,AGE_001,M,36
2020-01-06,회원-내국인,AGE_002,F,61
2020-01-06,회원-내국인,AGE_002,M,90
2020-01-06,회원-내국인,AGE_003,F,23
2020-01-06,회원-내국인,AGE_003,M,47
2020-01-06,회원-내국인,AGE_004,F,12
2020-01-06,회원-내국인,AGE_004,M,26
2020-01-06,회원-내국인,AGE_005,F,6
2020-01-06,회원-내국인,AGE_005,M,19
2020-01-06,회원-내국인,AGE_006,M,4
2020-01-06,회원-내국인,AGE_007,M,1
2020-01-06,회원-내국인,AGE_008,M,1
2020-01-07,회원-내국인,AGE_001,F,8
2020-01-07,회원-내국인,AGE_001,M,12
2020-01-07,회원-내국인,AGE_002,F,30
2020-01-07,회원-내국인,AGE_002,M,34
2020-01-07,회원-내국인,AGE_003,F,10
2020-01-07,회원-내국인,AGE_003,M,18
2020-01-07,회원-내국인,AGE_004,F,10
2020-01-07,회원-내국인,AGE_004,M,18
2020-01-07,회원-내국인,AGE_005,F,4
2020-01-07,회원-내국인,AGE_005,M,9
2020-01-07,회원-내국인,AGE_006,F,1
2020-01-07,회원-내국인,AGE_006,M,3
2020-01-07,회원-내국인,AGE_007,F,1
2020-01-08,회원-내국인,AGE_001,F,31
2020-01-08,회원-내국인,AGE_001,M,29
2020-01-08,회원-내국인,AGE_002,F,63
2020-01-08,회원-내국인,AGE_002,M,86
2020-01-08,회원-내국인,AGE_003,F,26
2020-01-08,회원-내국인,AGE_003,M,38
2020-01-08,회원-내국인,AGE_004,F,16
2020-01-08,회원-내국인,AGE_004,M,25
2020-01-08,회원-내국인,AGE_005,F,4
2020-01-08,회원-내국인,AGE_005,M,14
2020-01-08,회원-내국인,AGE_006,M,4
2020-01-09,회원-내국인,AGE_001,F,44
2020-01-09,회원-내국인,AGE_001,M,29
2020-01-09,회원-내국인,AGE_002,F,66
2020-01-09,회원-내국인,AGE_002,M,106
2020-01-09,회원-내국인,AGE_003,F,22
2020-01-09,회원-내국인,AGE_003,M,50
2020-01-09,회원-내국인,AGE_004,F,18
2020-01-09,회원-내국인,AGE_004,M,33
2020-01-09,회원-내국인,AGE_005,F,6
2020-01-09,회원-내국인,AGE_005,M,19
2020-01-09,회원-내국인,AGE_006,F,3
2020-01-09,회원-내국인,AGE_006,M,6
2020-01-09,회원-내국인,AGE_007,M,1
2020-01-10,회원-내국인,AGE_001,F,37
